web-scraper-order,web-scraper-start-url,skills
"1575731012-101","https://www.researchgate.net/topics","School"
"1575731012-182","https://www.researchgate.net/topics","Bioinformatics and Computational Biology"
"1575731012-139","https://www.researchgate.net/topics","Models"
"1575731012-111","https://www.researchgate.net/topics","Finite Element Method"
"1575731012-102","https://www.researchgate.net/topics","ANOVA"
"1575731012-30","https://www.researchgate.net/topics","Western Blot"
"1575731012-168","https://www.researchgate.net/topics","Cell Culture"
"1575731012-297","https://www.researchgate.net/topics","Food"
"1575731012-55","https://www.researchgate.net/topics","Conferences"
"1575731012-250","https://www.researchgate.net/topics","Chemical Engineering"
"1575731012-45","https://www.researchgate.net/topics","Thin Films"
"1575731012-196","https://www.researchgate.net/topics","RNA"
"1575731012-243","https://www.researchgate.net/topics","Computational Fluid Dynamics"
"1575731012-66","https://www.researchgate.net/topics","pH"
"1575731012-195","https://www.researchgate.net/topics","Cell Biology"
"1575731012-31","https://www.researchgate.net/topics","Nanoparticles"
"1575731012-218","https://www.researchgate.net/topics","Flow Cytometry"
"1575731012-125","https://www.researchgate.net/topics","Polymer Chemistry"
"1575731012-42","https://www.researchgate.net/topics","Correction"
"1575731012-275","https://www.researchgate.net/topics","Mind"
"1575731012-224","https://www.researchgate.net/topics","Methodology"
"1575731012-191","https://www.researchgate.net/topics","Statistical Analysis"
"1575731012-201","https://www.researchgate.net/topics","Mice"
"1575731012-293","https://www.researchgate.net/topics","Diabetes"
"1575731012-301","https://www.researchgate.net/topics","Rats"
"1575731012-148","https://www.researchgate.net/topics","Immunohistochemistry"
"1575731012-193","https://www.researchgate.net/topics","Journal Impact Factor"
"1575731012-282","https://www.researchgate.net/topics","Time"
"1575731012-74","https://www.researchgate.net/topics","Philosophy"
"1575731012-149","https://www.researchgate.net/topics","Atoms"
"1575731012-107","https://www.researchgate.net/topics","Reliability"
"1575731012-144","https://www.researchgate.net/topics","Solar"
"1575731012-264","https://www.researchgate.net/topics","Industry"
"1575731012-227","https://www.researchgate.net/topics","Column"
"1575731012-128","https://www.researchgate.net/topics","Acids"
"1575731012-216","https://www.researchgate.net/topics","Survey"
"1575731012-103","https://www.researchgate.net/topics","Innovation"
"1575731012-138","https://www.researchgate.net/topics","Simulink"
"1575731012-69","https://www.researchgate.net/topics","Electrical Engineering"
"1575731012-70","https://www.researchgate.net/topics","Real-Time PCR"
"1575731012-242","https://www.researchgate.net/topics","Ethics"
"1575731012-256","https://www.researchgate.net/topics","Higher Education"
"1575731012-289","https://www.researchgate.net/topics","Molecular Dynamics"
"1575731012-267","https://www.researchgate.net/topics","Social Science"
"1575731012-186","https://www.researchgate.net/topics","India"
"1575731012-169","https://www.researchgate.net/topics","ANSYS"
"1575731012-225","https://www.researchgate.net/topics","Gromacs"
"1575731012-258","https://www.researchgate.net/topics","Oil"
"1575731012-154","https://www.researchgate.net/topics","XRD Analysis"
"1575731012-141","https://www.researchgate.net/topics","Next Generation Sequencing"
"1575731012-174","https://www.researchgate.net/topics","Teaching"
"1575731012-22","https://www.researchgate.net/topics","MATLAB"
"1575731012-286","https://www.researchgate.net/topics","Deep Learning"
"1575731012-210","https://www.researchgate.net/topics","Drugs"
"1575731012-77","https://www.researchgate.net/topics","Publishing"
"1575731012-226","https://www.researchgate.net/topics","Computer Science"
"1575731012-285","https://www.researchgate.net/topics","Soil Science"
"1575731012-253","https://www.researchgate.net/topics","Manuscripts"
"1575731012-161","https://www.researchgate.net/topics","Cancer Research"
"1575731012-59","https://www.researchgate.net/topics","Attitude"
"1575731012-180","https://www.researchgate.net/topics","Articles"
"1575731012-277","https://www.researchgate.net/topics","Heat Transfer"
"1575731012-43","https://www.researchgate.net/topics","Materials Science"
"1575731012-162","https://www.researchgate.net/topics","Journalism"
"1575731012-177","https://www.researchgate.net/topics","Cell Line"
"1575731012-271","https://www.researchgate.net/topics","Big Data"
"1575731012-119","https://www.researchgate.net/topics","Program"
"1575731012-219","https://www.researchgate.net/topics","Stress"
"1575731012-104","https://www.researchgate.net/topics","Classification"
"1575731012-56","https://www.researchgate.net/topics","Concrete"
"1575731012-262","https://www.researchgate.net/topics","Polymerase Chain Reaction"
"1575731012-50","https://www.researchgate.net/topics","Bioinformatics"
"1575731012-44","https://www.researchgate.net/topics","Publications"
"1575731012-99","https://www.researchgate.net/topics","R"
"1575731012-79","https://www.researchgate.net/topics","Immunology"
"1575731012-179","https://www.researchgate.net/topics","Biotechnology"
"1575731012-291","https://www.researchgate.net/topics","Scanning Electron Microscopy"
"1575731012-239","https://www.researchgate.net/topics","Carbon"
"1575731012-47","https://www.researchgate.net/topics","Staining"
"1575731012-41","https://www.researchgate.net/topics","Academic Journals"
"1575731012-135","https://www.researchgate.net/topics","Nanoparticle Research"
"1575731012-190","https://www.researchgate.net/topics","Collaboration"
"1575731012-109","https://www.researchgate.net/topics","Cancer Cell Line"
"1575731012-39","https://www.researchgate.net/topics","Antibodies"
"1575731012-208","https://www.researchgate.net/topics","Gene Expression"
"1575731012-261","https://www.researchgate.net/topics","Synthesis"
"1575731012-237","https://www.researchgate.net/topics","Material Characterization"
"1575731012-34","https://www.researchgate.net/topics","Publication"
"1575731012-122","https://www.researchgate.net/topics","Instruments"
"1575731012-287","https://www.researchgate.net/topics","UV-Visible Spectroscopy"
"1575731012-231","https://www.researchgate.net/topics","Training"
"1575731012-46","https://www.researchgate.net/topics","Mechanical Engineering"
"1575731012-80","https://www.researchgate.net/topics","Gels"
"1575731012-90","https://www.researchgate.net/topics","Materials Chemistry"
"1575731012-164","https://www.researchgate.net/topics","Papers"
"1575731012-276","https://www.researchgate.net/topics","Solubility"
"1575731012-214","https://www.researchgate.net/topics","Plants"
"1575731012-146","https://www.researchgate.net/topics","Polymers"
"1575731012-235","https://www.researchgate.net/topics","Electrochemistry"
"1575731012-240","https://www.researchgate.net/topics","SDS-PAGE"
"1575731012-228","https://www.researchgate.net/topics","Powders"
"1575731012-137","https://www.researchgate.net/topics","Academic Writing"
"1575731012-194","https://www.researchgate.net/topics","Data Analysis"
"1575731012-245","https://www.researchgate.net/topics","Protein Purification"
"1575731012-278","https://www.researchgate.net/topics","Peptides"
"1575731012-121","https://www.researchgate.net/topics","Heat"
"1575731012-151","https://www.researchgate.net/topics","Resistance"
"1575731012-147","https://www.researchgate.net/topics","DMSO"
"1575731012-140","https://www.researchgate.net/topics","Time Series"
"1575731012-126","https://www.researchgate.net/topics","Dissertations"
"1575731012-173","https://www.researchgate.net/topics","Machine Learning"
"1575731012-118","https://www.researchgate.net/topics","Cancer Biology"
"1575731012-115","https://www.researchgate.net/topics","Civil Engineering"
"1575731012-83","https://www.researchgate.net/topics","Advanced Statistical Analysis"
"1575731012-170","https://www.researchgate.net/topics","SPSS"
"1575731012-88","https://www.researchgate.net/topics","Nano"
"1575731012-272","https://www.researchgate.net/topics","Microsoft Office Excel"
"1575731012-181","https://www.researchgate.net/topics","Filing"
"1575731012-92","https://www.researchgate.net/topics","Neural Networks"
"1575731012-58","https://www.researchgate.net/topics","FLUENT"
"1575731012-36","https://www.researchgate.net/topics","Solvents"
"1575731012-132","https://www.researchgate.net/topics","Nanomaterials"
"1575731012-48","https://www.researchgate.net/topics","Calculations"
"1575731012-183","https://www.researchgate.net/topics","Buffer"
"1575731012-62","https://www.researchgate.net/topics","Analytical Chemistry"
"1575731012-35","https://www.researchgate.net/topics","Research Papers"
"1575731012-221","https://www.researchgate.net/topics","Extraction"
"1575731012-220","https://www.researchgate.net/topics","Materials"
